X1;X2;X3;X4;X5;X6;X7;X8;Y
30;2;0;4;51;89;2;780;1
9;1;0;6;21;92;9;194;0
4;1;0;0;16;50;0;92;0
4;0;2;1;4;0;4;7;0
33;1;0;7;45;56;32;352;0
14;3;0;7;37;75;13;167;0
21;1;0;5;33;71;17;299;0
4;1;4;11;16;75;4;257;1
0;0;2;0;0;0;0;68;0
2;4;0;1;43;0;2;13;0
34;2;0;6;51;92;6;1595;0
3;6;0;30;630;45;1;467;0
2;1;0;15;14;50;1;91;0
5;1;0;20;17;50;5;82;0
4;1;0;3;16;0;4;17;0
16;1;0;8;28;82;14;181;0
3;2;0;17;73;22;2;73;0
1;1;0;11;13;0;1;58;0
18;3;0;9;49;83;18;307;0
4;2;0;4;24;33;0;25;0
3;0;6;0;3;100;0;6;0
6;1;0;5;18;62;5;45;0
3;2;0;5;23;33;0;28;0
5;2;0;5;25;72;0;91;0
5;3;0;5;36;70;5;54;0
4;1;0;1;16;0;3;18;0
4;3;0;5;41;91;3;37;0
5;1;0;5;17;60;3;91;0
3;2;0;5;23;16;0;43;0
8;1;0;5;20;96;8;177;0
4;1;0;0;16;0;3;18;0
3;3;0;3;69;0;3;15;0
5;3;0;5;38;70;5;54;0
3;2;0;4;23;0;0;37;0
3;2;0;5;23;33;0;38;0
5;2;0;7;25;9;0;72;0
3;2;0;3;23;0;0;11;0
5;2;0;5;25;30;0;38;0
5;1;0;5;17;62;3;83;0
4;1;0;1;16;16;3;20;0
3;2;0;3;23;33;0;25;0
4;2;0;3;24;50;0;25;0
14;1;0;6;26;65;10;104;0
7;2;0;5;27;46;0;123;0
8;1;13;3;20;75;0;35;0
46;2;1;34;66;95;26;666;0
2;2;0;16;32;0;1;91;1
6;0;1;2;6;0;6;8;1
4;2;0;14;34;0;1;42;1
12;1;0;4;24;48;0;80;1
3;2;0;7;33;66;2;27;1
8;2;0;14;38;73;2;94;1
3;2;0;6;33;77;2;25;1
4;2;0;13;34;0;2;80;1
7;1;0;4;19;78;3;65;1
4;2;0;10;27;75;3;83;1
2;2;0;5;32;0;1;13;1
1;2;0;1;31;100;1;7;1
4;3;0;6;37;75;4;42;1
2;0;2;0;2;0;2;5;1
7;1;1;0;7;0;7;10;1
9;2;0;20;39;72;7;110;1
2;2;0;13;32;50;1;76;1
0;0;1;1;0;0;0;81;1
5;1;0;6;17;0;5;56;1
3;2;0;8;33;0;2;75;1
4;1;1;14;16;75;4;30;1
2;2;0;4;32;0;1;15;1
2;2;0;6;32;50;1;47;1
44;1;0;20;56;87;29;712;1
2;2;0;4;32;0;1;17;1
11;1;2;18;23;59;8;129;1
3;4;0;5;44;33;3;20;1
86;2;0;39;109;0;84;155;1
10;2;0;26;40;90;1;190;1
50;1;0;8;62;90;7;2098;1
13;1;0;5;25;30;13;59;1
2;2;0;5;32;50;1;15;1
5;2;0;9;35;65;4;66;1
3;2;0;6;33;0;2;37;1
0;0;13;1;0;0;0;268;1
5;2;0;6;35;65;3;56;1
351;1;0;70;363;91;88;5317;1
5;2;0;11;32;53;4;47;1
2;2;0;6;32;0;2;15;1
15;1;1;25;27;82;10;220;1
19;1;0;26;31;81;8;537;1
10;2;0;6;95;0;7;53;1
2;2;0;1;32;50;1;6;1
8;2;0;12;38;75;6;56;1
4;2;0;7;34;0;2;53;1
31;1;0;8;43;80;25;446;1
73;1;1;33;85;95;48;765;1
56;1;0;45;68;93;45;616;1
6;1;0;21;18;0;2;122;1
31;1;0;41;43;0;14;605;1
22;1;0;43;34;89;6;693;1
18;1;38;11;30;88;18;105;1
6;2;0;11;36;83;2;55;1
3;1;0;2;15;0;3;13;1
6;1;1;8;18;83;6;85;1
10;4;0;9;59;65;10;71;1
1;2;0;1;16;0;1;11;1
2;1;0;1;14;93;2;18;1
9;1;0;19;21;59;3;156;1
6;3;0;3;43;96;4;71;1
5;1;0;4;17;70;5;35;1
5;2;0;9;35;40;2;80;1
1;1;0;1;13;0;1;10;1
10;1;0;19;22;85;3;208;1
4;2;0;12;34;75;1;88;1
12;1;0;7;24;76;7;73;1
4;2;0;7;22;0;4;26;1
4;1;0;4;16;25;3;25;1
11;4;0;5;60;72;10;148;1
7;2;0;35;23;0;5;220;1
3;1;0;10;15;66;3;66;1
2;2;0;3;32;50;2;12;1
4;2;0;7;34;50;2;25;1
1;4;0;1;42;0;1;7;1
1;4;0;1;42;0;1;3;1
3;1;1;3;15;66;3;25;1
6;2;0;21;36;85;1;164;1
12;3;2;4;49;63;9;87;1
2;0;1;2;2;0;2;8;1
4;3;3;5;41;0;3;23;1
2;2;0;8;32;56;1;67;1
3;2;0;11;33;66;2;45;1
2;2;0;9;32;50;1;41;1
4;2;0;9;34;50;2;78;1
32;1;1;31;44;91;19;300;1
2;3;0;1;39;0;2;5;1
3;2;0;12;33;66;1;107;1
5;2;0;18;35;70;1;79;1
2;2;0;8;32;0;2;18;1
17;0;1;2;17;0;0;24;1
5;0;1;2;5;0;0;20;1
4;1;0;7;16;75;1;102;1
23;1;0;13;35;88;18;301;1
0;1;0;1;12;0;0;6;1
22;1;0;11;34;93;7;397;1
31;1;0;10;43;85;17;967;1
0;0;1;0;0;0;0;181;1
11;1;0;4;23;9;10;143;1
8;1;0;2;20;60;0;97;1
2;1;0;13;14;0;2;63;0
8;7;0;13;850;77;7;114;0
2;0;8;1;2;0;0;5;0
2;1;0;18;14;0;2;86;1
4;6;0;15;780;62;3;137;0
3;1;0;14;15;33;3;101;0
3;1;0;10;15;0;2;48;0
2;1;0;15;14;0;2;84;0
4;7;0;15;795;50;3;138;0
2;1;0;10;14;0;2;119;0
3;1;0;18;15;0;2;133;0
13;1;0;7;25;71;12;106;1
13;1;0;10;25;72;13;134;1
5;2;0;8;30;53;4;78;0
13;2;0;16;89;71;8;213;1
14;1;0;10;26;90;13;463;1
30;1;0;11;42;91;30;198;1
10;2;0;19;26;68;10;207;1
7;2;0;11;27;66;3;141;0
2;0;2;2;2;0;2;6;0
12;1;0;8;24;66;10;124;0
18;2;1;16;43;84;11;547;1
8;1;2;4;20;70;5;55;0
4;1;1;5;16;92;4;77;0
1;1;0;2;13;0;1;24;0
2;1;0;2;14;100;2;9;0
6;1;0;2;18;66;6;33;1
10;1;0;6;22;85;9;151;1
12;1;0;17;24;70;6;628;1
7;1;0;2;19;53;2;41;0
7;1;2;11;19;47;7;61;0
56;1;0;59;68;97;52;836;1
