REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
0.66257601,-0.15596947,0.015164335,0.81584355,-1.1874932,0.7024519,-0.72271064,-0.21831886,0.92973366
1.1763174,-1.2906045,0.39796533,-1.1693468,0.34061967,0.0039678442,-1.200477,0.095167155,-0.24827749
0.89342353,1.5080265,0.15254564,0.59122861,0.81297929,0.71411143,-1.1083166,0.40371333,-0.76479704
0.56345544,-0.96789949,0.29491953,-0.078266724,0.95655898,1.1868744,-0.97400099,-0.63017101,1.4533035
0.71776004,-0.31992379,-0.72062248,0.89849735,1.3572431,-1.3160578,0.8046133,-0.97529514,-0.21028128
1.1910818,1.44756,-0.66238115,-0.59084743,0.080186065,0.97118692,-1.4205765,1.0450074,0.094201963
0.60828535,0.64693477,1.1643671,0.20156356,-0.056056236,-0.97680944,0.47573696,-1.204479,-0.11031186
0.18027402,-0.019460978,0.53662745,1.0418017,0.34063495,0.72688143,0.35777072,0.7452856,-0.47170528
0.48359547,-0.35501431,-0.41493345,1.46533,1.0698179,-0.95759346,0.044221009,0.48514942,1.4291691
0.40785327,-0.84098436,0.54923279,0.8572289,1.0939564,0.10587155,-1.334953,1.4734317,-0.57240823
0.6266471,-0.39883843,0.95631535,0.10220095,1.5243621,1.2417796,0.6996954,-1.2086526,-0.90842124
1.0597101,0.88127122,0.40407276,-0.75988908,0.26641362,0.99006927,0.79930514,-0.28696859,0.30457652
0.93878309,-1.0840305,-0.87246221,-0.8815905,0.84420486,-0.92210383,0.47123879,-0.73632673,1.3631333
0.63374481,-1.204505,1.4821983,-1.1405227,1.118683,-0.32251384,0.155345,-0.70992864,-1.4544624
0.41042475,0.30711596,-1.5222369,1.233645,-0.72698158,-1.2427,0.21993991,-0.0017365606,-0.41782466
0.61508349,0.061277891,0.89477264,-0.64001088,-0.7255523,-0.750126,-1.1245503,-0.91203952,-0.91949896
1.1227349,-0.54487459,-0.36025886,0.150333,1.3052529,-0.15635901,-0.49563904,-0.81763033,-0.52480217
0.35174022,0.035414876,-1.0215354,0.80626148,-0.35565,-1.5543683,1.2983304,-0.58661364,1.2421564
0.52634809,1.4568104,-0.1418277,1.1475301,1.0411873,1.2158583,-0.4636067,-0.89763175,1.040219
0.66455423,-0.96145186,0.77060354,0.30108605,0.5639488,-1.1298868,-0.68800148,-0.56890539,-0.0025701986
0.74775276,1.231244,-1.2528738,-0.75257531,0.10241613,0.92028971,0.96162337,1.4151972,0.78496961
0.84142437,-0.15290783,1.0449233,-0.48127494,-0.28489187,1.2484625,-1.4902504,0.22214533,1.4367067
0.28400763,-0.099147438,0.52290344,0.8131255,-0.39045415,0.21220016,1.2799357,1.384436,0.44875618
0.76224712,-1.326878,1.4034542,0.27221751,0.4241548,0.74037123,1.3946423,-1.5607098,-0.71879989
0.22992062,1.328115,0.77756254,1.0008201,0.49601439,-0.42921682,0.33041685,1.4487178,-1.445945
0.49347389,0.61295085,-0.53180913,0.6956246,-1.2730876,-0.75040514,-1.0197772,1.2571412,1.3633851
0.40897718,0.58269859,-0.28490337,1.4964699,0.60471842,1.4353058,1.1339189,1.5613584,-0.36335757
0.39142692,1.0709362,-0.58378381,-0.42055104,0.45028203,-1.1047856,0.87424758,0.026653119,0.30546059
0.34997745,1.0395936,-0.46060619,0.38206551,-0.20670495,-1.3198259,0.25023213,-1.2887815,0.51374548
1.1518091,-1.0884543,-0.5238987,-0.040333021,0.51134442,0.47131247,-0.94118675,0.73031445,1.423647
0.91265886,-0.15696341,0.71872202,0.70693173,-1.2318261,1.3936088,-0.60666365,0.19242573,0.86491559
0.89917397,0.85377409,0.13728785,-0.1017832,-0.20612754,-1.3317352,1.4137979,1.400389,0.4870674
0.73462113,-1.4141931,1.4679001,1.49772,0.79113504,1.3737585,-1.3060224,-0.47496925,-0.84865977
0.99314385,0.94713045,0.070329188,-1.4020545,1.3865101,1.1943617,-0.011421254,-0.021261435,-0.59416166
0.34204355,-0.028484385,0.78381872,0.75655535,-1.2583567,-1.140769,-0.31986081,0.8006286,1.047981
0.3758458,-1.214976,0.94328981,1.4003335,0.00077332849,0.23552916,-0.63555096,0.72352426,-1.4926343
0.96958122,0.25042878,1.3953283,-1.406802,0.43096126,0.13183417,-0.28995236,-0.8329597,-1.0874976
0.70272124,-0.77761183,-0.70688724,-0.49448845,-1.3466841,0.91409397,-0.61912662,-0.6168354,0.21423436
0.96326801,-0.29656039,0.84950649,-1.3548366,1.4552529,0.78926016,-0.70630938,0.10317651,0.37168874
1.1136956,1.4170695,-0.88298815,-0.47452137,1.1374527,1.2913252,1.13687,-0.071613949,1.486498
0.49483924,0.27304865,0.50184141,1.2231163,0.57624487,1.1798408,0.20739918,-0.38564811,-1.5151774
0.32446799,-0.73820871,-0.72777232,1.4748287,-0.58258841,-0.14920983,-1.4098042,-0.48219045,0.16277507
0.55978344,-0.92436186,-1.4491635,0.27938871,0.78082906,-0.7786257,-0.6879976,1.134133,-0.56664969
0.71767292,-0.57404094,0.67737262,-0.99494246,0.96152618,1.5128904,1.026878,1.3303126,-1.5140358
0.82432903,-0.074973991,-0.53022462,0.6998199,0.017911957,-0.90117917,-1.1720393,-0.15114817,0.50050542
0.72241312,-0.30920539,1.2131654,-0.24991134,-0.54664124,-0.50017892,-0.67876843,1.2012356,-1.1905002
0.81024124,-0.62076462,0.73526695,0.049545903,-1.3824461,0.3948726,-0.93814693,1.2927536,0.067152738
0.6088042,0.038156556,-1.3938353,0.1959306,0.4470824,-1.5615383,0.21809892,0.055727024,0.80429668
0.68531202,0.41233032,0.66672764,0.61649273,-0.57571384,0.091197787,-0.65007297,0.4094816,-0.45883732
0.64071164,-0.31773479,-0.36958083,0.42081098,0.082790649,-0.33600573,0.68282213,-1.0722311,0.93118743
0.69144969,0.53888784,-0.61625279,0.84505611,-0.2631145,1.3352088,-0.046369229,-0.81277165,-0.9475233
1.0444151,-0.1237225,0.4702765,-0.28239383,1.1971068,0.4571804,-0.21264671,-0.60823536,-0.29099423
0.67977261,0.33023659,-0.30997282,0.75346356,1.0146892,-0.50458564,1.1792181,0.13076927,0.71977315
1.070535,-0.90777807,-0.95250398,-0.29801455,1.3164656,-1.4122942,-1.1893862,-1.2757746,-1.04595
1.1159225,-1.4521755,0.82169149,-1.0318913,-0.39895123,1.4447106,-0.059447391,-0.57312556,1.0715809
0.92723243,0.31947302,-0.27235995,-1.4060733,-1.0146773,-0.11852747,-0.10584426,-0.39819432,-0.68969444
0.52722808,0.40116887,-0.25319097,-0.8146804,-1.1166449,-0.32136831,-0.78305503,-0.85962203,0.78237038
0.58450806,0.58732546,1.4774768,-1.2727139,0.42284066,-0.83944454,-0.67429715,0.51713241,-1.407912
0.64790115,0.29490755,0.80380156,0.60249727,0.4003498,0.34826158,-1.1874876,-1.3424253,-0.30187152
0.91513363,-0.92204135,0.64440567,0.8185015,-0.61241809,0.44522959,0.43407586,0.77610646,0.11752746
1.0214463,0.72758363,1.4562755,-0.47943712,-1.0532375,-0.29992619,0.73485647,0.1285888,-0.77771083
0.83254172,1.4194662,-0.52558098,0.28546591,1.1117216,1.3967613,1.131953,-0.2237095,1.1811629
0.79247556,-0.28609508,0.71902982,0.61354654,-1.4874351,1.3873531,-0.75028982,0.6008508,0.081266733
0.48024162,1.3782597,-0.97271249,1.1695841,1.4728097,0.34311816,0.23182887,1.420558,-0.742828
0.44767316,1.448814,0.46938609,0.25542968,0.904836,-1.177172,0.77290712,-0.78573319,-0.021069573
1.2452966,-0.26732251,0.43285377,-1.5505261,-0.87138165,1.0215571,-0.2355764,1.4378602,0.88365564
0.90528429,-0.41198919,-0.95534553,-0.18189186,0.79348418,0.50549793,-0.92575693,0.98652852,1.2918854
0.93302715,-0.23206932,0.18779571,-0.28691657,0.027763989,1.0371456,1.1116705,-0.74121026,1.1713949
0.36562175,1.4689925,-1.0181606,0.13787345,-1.4679492,-1.39134,0.79456222,-1.1059954,-0.72741393
0.99080118,-0.41959694,0.029175801,-1.2563853,-0.89545319,-1.3776139,-0.70309274,0.33976968,1.4326564
0.64376938,0.70967006,0.26923489,-1.4241534,1.4887079,-0.019593394,-1.3497885,-0.90641608,1.490659
1.0607304,-1.2025681,1.1373212,0.047530233,1.0704474,0.56106213,-0.45437348,-0.5522861,-0.69535722
0.62230919,1.4454648,1.5071474,0.87608455,-0.89197356,-1.2898984,0.55664841,1.1338202,-0.14410079
0.98150225,-0.0089832116,-0.034718306,-0.29171266,0.2805093,0.80835473,-0.073122656,-0.78563862,0.26587679
0.48516886,-0.18438974,0.8256621,1.2114121,-1.010777,-1.3702801,-0.60975242,-0.11443624,1.2464404
0.79995103,-1.4280313,0.48820912,-0.45892372,-1.5369038,0.71769062,-0.23372832,-0.67509821,0.78335877
0.28384689,0.84530197,-0.50940501,-0.5209364,-0.56791973,-1.4896061,-1.2810598,1.0571045,-0.5040312
0.52206357,0.7082229,-0.72998814,0.2407284,-0.86841898,-0.45766284,-1.4375959,1.048752,-1.5185237
0.6039008,-0.39231077,-0.99142176,-0.44910694,0.32166196,-1.3205433,0.31398608,-1.1007791,0.47134615
0.74978779,0.63586805,0.18185952,1.1068444,-0.50841299,0.98139186,-0.71155498,0.04499974,-1.1819359
