REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
-4.1126016,-0.80842484,-0.43632649,-0.86207774,-1.1718694,-1.5927828,0.23830125,0.47221462,-0.28882628
-0.91059321,-0.95297138,1.7627143,-1.7934036,-1.2935585,0.24027518,0.72999923,0.57486644,0.58031884
-4.1808192,-0.56958893,-1.2765827,-0.96070914,-0.10895472,0.97482131,-0.21222273,-0.15641662,0.30585959
0.26173662,-0.68440259,-0.75534072,-1.720519,-1.5446979,1.6402736,-1.2814043,0.29930704,0.053374072
-2.7877668,-1.7026794,0.46376693,-1.6456094,-1.6894587,0.23938486,0.84614971,0.3606862,-0.34702094
-7.12461,-1.1965469,-1.6575586,1.055811,0.044175776,-0.21024299,-1.1471549,-0.28881714,-0.14967415
-4.4035576,-1.1729548,-0.98558037,0.34054168,0.75878325,-0.73948689,0.84093852,0.081715716,0.59604497
-2.793594,0.40164373,-1.4847574,-1.2750645,-1.8337886,-1.4605442,-1.4743165,0.25133561,0.19761462
8.8027221,-0.91472206,-0.035829982,0.99128468,1.2840701,-1.3752011,0.32139607,-0.18431384,-0.56278467
9.0518037,-1.0115544,1.1047013,-0.098325668,-1.3384104,0.39566908,-0.11309618,-0.24583054,-0.073813909
-2.6368459,0.65857409,0.19550066,-1.582888,0.6653105,0.31696975,0.42607973,-0.54407765,-0.31306767
-0.87790104,0.85331836,0.97945676,-1.4723557,-0.1856111,-1.8492067,-0.46990434,0.089690273,0.2244186
4.3281915,0.63928321,0.18598573,0.60586801,0.29353462,-1.3773504,-1.8735035,-0.53340955,0.18573994
-0.50518642,1.6687753,-1.0333118,1.1088723,-1.6244042,0.33498208,1.5664518,-0.54240472,0.20389644
-3.9401986,-0.98187034,-1.3935647,0.81656891,1.5969808,-1.3105383,1.3746083,0.32677721,-0.25546978
2.5077568,-0.25317263,1.1572932,1.6552434,1.5007389,-1.5563601,1.6699192,-0.20891488,-0.032380216
4.8221328,1.8400353,0.89261601,1.7205996,-0.8706517,1.7520947,0.67950774,0.45376089,0.35926944
-3.800297,-0.4980277,-1.1486452,0.43603881,-0.20306707,-1.1786483,1.3418221,0.12608377,-0.11013104
4.2004774,-1.798292,-0.51517353,0.96439395,1.7209833,1.8076635,-0.31358703,-0.038633487,-0.11302103
8.3602576,0.17477456,0.67521699,0.93924121,1.2088964,1.871135,-0.43328038,0.42175525,0.040522662
4.6212978,-1.6826937,0.84133826,-0.56464477,-1.1182814,1.8217934,-0.3377995,0.028650346,0.32636745
-0.52838256,0.18113515,-1.7497135,1.6415196,0.80912752,0.93653453,0.95660234,-0.33602522,-0.375895
-1.7654729,1.0450545,0.21442093,-0.26255701,1.7703448,-1.7240597,-0.7341827,-0.15577183,0.34291414
-4.2648153,-0.76021719,-0.74138399,-0.88425097,-0.61609773,1.1914308,-1.3913788,-0.045989098,-0.13876934
-2.1416647,1.5824126,-1.1149819,0.72715268,-0.79696821,-0.15032564,-0.68245723,0.56695446,-0.39635982
6.9025754,-1.3177051,1.5584345,-0.7339859,-0.951568,-1.0400622,0.75325377,0.18279776,0.28187634
5.132331,-0.32784705,1.4848602,-0.76678492,-1.797715,1.6419359,0.26634879,0.52185798,0.067086245
-2.5025693,-1.5126217,1.6478525,1.6898514,-1.1776743,-1.1386643,-1.4618106,-0.044458409,0.38751445
0.52094712,1.7448131,-1.0646518,-1.6046336,0.86742866,0.6269158,-0.32794865,-0.070923841,-0.4169978
0.92518819,-1.514361,-1.194302,-1.626776,-1.8280474,0.7826635,1.0053664,0.14367534,0.3513789
-0.47234586,1.335948,-0.31223399,-0.00022467876,-0.0062647738,0.26546057,1.7908443,-0.079751146,0.022483422
3.9600193,-0.3805416,1.7766516,-1.282602,-0.33985448,-0.51886583,-0.77335422,0.28309524,-0.018365837
-6.219353,-0.86275138,-1.1840989,0.21076029,-1.4683646,-0.96589395,-0.54199896,-0.40462792,-0.18142076
1.0365113,0.19234911,-1.7723271,-1.4325511,1.5359931,-0.91632877,-0.65040789,0.42558084,-0.4628235
9.3118434,-0.86265102,0.50271527,0.76450721,1.2153417,0.8688924,-1.1612819,-0.26585804,0.52388355
-8.9773142,1.6050407,-1.5656677,-0.19770227,-1.4902195,1.1699683,-0.19876277,-0.147862,0.083341055
2.8342102,0.98367491,1.5637081,1.1905218,-1.588834,-1.251452,-0.81955559,0.31342799,-0.21573792
-7.266249,1.5478891,-0.78417546,-0.027515736,1.2420971,-1.8422149,0.17532751,-0.42689201,0.025980964
3.046184,-0.43333345,0.43311462,-0.34114343,0.43720539,0.55411709,1.3653518,0.0060987865,0.50230412
7.1459303,0.70774203,0.95046872,1.4141479,-1.7068302,-1.4409385,0.056338688,0.20264486,0.25214325
7.9316388,1.7956182,0.81579783,-0.052848983,1.4661874,-1.6975111,0.61946683,-0.35514083,-0.051937582
7.8975868,-1.617709,-0.23590652,1.0656518,-0.43871095,0.53136679,-0.23793321,0.29674335,0.16556734
-9.1152793,-0.34463888,-1.7621196,0.47892397,0.51474643,-0.60298072,-0.77564741,0.014913931,-0.14155804
5.990019,1.3633277,-0.071522295,0.52646234,0.27095566,-0.10100459,-1.1240874,-0.48153723,-0.39617259
1.1150262,1.028146,-1.2235016,1.4737598,1.1644887,-1.8168,1.3233245,-0.43299289,-0.51150894
-2.8644092,-0.41093144,-0.047395485,-1.1246577,0.21212589,-1.1362009,-1.528428,-0.036540169,0.26937951
3.3822329,-0.43543513,-0.9606139,1.4917352,1.683875,0.16454116,-1.6715412,-0.068343507,-0.24932011
4.1602214,0.24187192,1.1771084,-0.83365706,1.4856718,1.5637777,-1.4082882,-0.50827718,0.18538873
-4.9279224,-1.7958257,-0.53390479,-0.94910481,-1.1102496,1.0945294,-1.4112976,0.19188261,0.57095647
8.3912775,-1.0512503,1.2092916,0.97211631,-0.43628081,-0.094394507,0.64413339,-0.39314469,-0.38280734
-4.7818795,1.7502281,-0.53389293,-0.74988896,-0.57060367,0.51824364,1.626085,0.48514701,-0.13413223
-2.1928881,1.3812799,0.057841163,-0.50066657,-0.26123105,1.436292,1.0186522,0.42047565,0.134261
2.1417531,1.648289,1.4856688,1.5144754,-0.65296379,-0.151014,-0.94202479,0.32350646,-0.026907596
8.4021188,0.51530327,1.2160046,0.70134969,-0.92810473,1.2362696,-1.7679401,0.2136646,-0.53906657
8.2303961,-0.28851243,-0.9226863,1.8259199,1.1580885,-0.057200812,-0.046690374,-0.18576109,0.31341378
8.3858841,-1.4283607,0.33650222,0.72606362,-0.25128308,-1.0142693,0.71491519,0.27776468,0.39103143
6.2008913,-1.0514798,1.1226117,-0.67090893,-0.16209304,1.3479967,-1.3854714,0.35781035,0.51859665
7.9990886,1.4259909,1.3039263,0.59551196,-0.34460042,-1.1156712,0.45230167,0.53898003,-0.16266619
-1.0370322,-1.0388939,1.5388805,-1.3964647,1.0841529,1.3770732,0.9839413,-0.47713077,0.46310365
4.3452059,0.57513714,0.27769405,0.053834332,0.014929463,-1.6645619,0.21935912,-0.065042078,0.037803443
-4.6801796,1.7670445,-0.64352229,0.19598841,-0.92514926,-1.8698797,-1.0887798,0.0084295646,0.075692781
9.2650951,0.52959894,0.20913258,1.3340922,-1.3437971,0.3403492,1.2937973,0.00090359068,-0.41335151
7.8170067,-1.2529965,-0.38907642,1.5884532,-1.3781509,-0.24798025,1.7177093,-0.13983879,0.52937931
9.6636048,1.5019809,0.46796317,1.022265,1.7222067,-0.24975978,-1.80149,-0.47270352,0.47196503
8.6816262,0.99330975,1.3902423,-0.10746638,-0.39995632,-0.31427356,-0.35022383,-0.43946408,-0.072746823
-3.3887981,0.45282203,-0.87083717,-1.3650196,1.7944901,0.70518003,-0.63992828,0.089755116,0.11423426
7.8231424,-0.20339026,0.9293852,1.4350921,-0.29835446,-0.46148555,-1.4802636,-0.36467741,0.46681556
-6.6601311,0.53153583,-1.1668647,-0.41707038,-1.4369332,-0.48581159,0.59227737,0.58575705,0.018709688
-3.0609568,0.16880505,-1.6366137,-1.2942651,-0.32581689,1.676419,-0.74176797,0.064318861,-0.19289997
-2.4524008,1.0371921,0.018359306,-0.56785772,1.4304993,1.6773564,-0.066159367,0.05835289,0.33702512
2.2346666,1.197775,-0.32141162,0.31756822,-0.82520075,0.35421273,0.5636009,-0.4286115,-0.073541811
3.5789713,-0.054073254,-0.26058076,1.0559908,-0.70471793,0.86669158,-0.45143717,0.48597219,0.5345729
-4.4541166,0.52368363,-1.191799,-1.0270884,0.14915097,-0.21053715,1.4487095,-0.44418139,-0.15665048
-7.2793831,-0.077251792,-1.5214241,0.7323973,0.64147877,-0.61237318,-0.29849456,0.30358573,-0.034692534
-1.3041502,0.38511053,-0.38477766,-1.5604488,0.80938575,1.5067672,1.743141,0.31544865,0.14539212
4.6414376,1.273599,-0.17648545,0.72909985,1.7697843,0.16579136,0.49101165,0.030946684,0.52091158
8.5484933,-0.75111991,1.3601854,-0.10570757,-0.99897141,1.4719037,0.12861794,0.48468216,0.45299744
-2.9754782,-1.483118,-0.11222993,-1.2929005,-0.011414996,0.41362975,0.15892258,-0.59052901,0.17886518
-9.5680727,0.58758078,-1.6970994,-0.0020009832,0.2986768,-1.6607102,0.86622442,-0.24293524,0.58747282
0.46123902,0.1748188,1.4188244,1.4929453,-0.597135,-0.54434185,0.82091063,-0.26419712,-0.36092239
-8.2973755,-0.071210321,-1.7700178,-0.31938794,0.40046117,1.2594177,-1.0178234,0.41373229,-0.40132692
-2.6700756,0.30920894,-1.8329272,1.7070673,1.6560229,-0.47751324,0.57589507,0.54317832,-0.4018991
